Age,Income,Student,Credit_Rating,Class
Youth,Low,Yes,Excellent,Buy
Youth,Low,No,Excellent,No
Middle_Aged,Low,No,Excellent,No
Senior,Low,No,Fair,No
Middle_Aged,Low,Yes,Excellent,No
Middle_Aged,Low,Yes,Fair,Buy
Middle_Aged,Low,Yes,Fair,No
Youth,Medium,No,Fair,Buy
Senior,High,Yes,Fair,No
Senior,Low,No,Excellent,Buy
Youth,High,Yes,Fair,Buy
Senior,High,No,Excellent,No
Senior,High,No,Fair,No
Youth,Medium,No,Excellent,No
Senior,Low,Yes,Excellent,Buy
Senior,Medium,No,Excellent,Buy
Middle_Aged,Low,Yes,Fair,Buy
Senior,High,No,Excellent,Buy
Middle_Aged,Medium,No,Fair,No
Middle_Aged,High,Yes,Fair,No
